Profile: allExchangesTenMins
Exchanges: Anxhk, Bit-x, Bitbay, Bitfinex, Bitkonan, Bitstamp, Btce, Campbx, Cex, Coinbase, Cointrader, Exmo, Gatecoin, Gemini, Hitbtc, Itbit, Kraken, Lakebtc, Okcoin, Rock, Vircurex, 

GMT, Bid Total Fiat, Ask Total BTC, Bid10, Ask10, Bid100, Ask100, Bid1000, Ask1000, Bid10000, Ask10000, Bid50000, Ask50000, Bid80000, Ask80000, Bid100000, Ask100000, BidRatio10, BidRatio100, BidRatio1000, BidRatio10000, BidRatio50000, BidRatio80000, BidRatio100000, 
2016-03-23 14:15:53, 32438821,66328, 419.16, 400.71, 419.07, 413.81, 419.0, 416.5, 417.53, 419.99, 411.35, 431.93, 377.7, False, 310.81, False, -0.0, -0.0, 0.0, 0.004, 0.018, 0.099, 0.258, 
2016-03-23 14:26:11, 32565058,66509, 419.16, 405.27, 419.08, 413.78, 419.0, 416.59, 417.84, 419.96, 411.56, 431.87, 378.1, False, 311.19, False, -0.0, -0.0, 0.0, 0.003, 0.018, 0.098, 0.257, 
2016-03-23 14:36:48, 36307944,66396, 419.0, 410.54, 419.0, 413.67, 419.0, 416.65, 417.4, 420.01, 413.29, 432.03, 398.89, False, 354.32, False, 0.0, 0.0, 0.0, 0.004, 0.014, 0.048, 0.154, 
2016-03-23 14:47:19, 34774520,62389, 419.0, 409.28, 419.0, 413.83, 419.0, 416.31, 415.41, 419.86, 412.17, 433.55, 392.0, False, 342.59, False, 0.0, 0.0, 0.0, 0.009, 0.016, 0.064, 0.182, 
2016-03-23 14:58:01, 32543486,65570, 419.25, 401.8, 419.23, 413.89, 419.19, 416.27, 417.82, 420.08, 411.46, 432.55, 377.97, False, 311.07, False, 0.0, 0.0, 0.0, 0.003, 0.019, 0.098, 0.258, 
2016-03-23 15:08:20, 32699634,66070, 420.46, 398.24, 419.26, 413.74, 419.24, 416.51, 417.96, 420.2, 411.67, 432.23, 378.2, False, 311.48, False, -0.003, 0.0, 0.0, 0.003, 0.018, 0.098, 0.257, 
2016-03-23 15:18:37, 50809443,69600, 419.58, 400.05, 419.26, 413.53, 419.24, 416.19, 417.85, 419.08, 413.93, 430.4, 413.16, False, 410.6, False, -0.001, 0.0, 0.0, 0.003, 0.013, 0.015, 0.021, 
2016-03-23 15:29:17, 51278580,66490, 420.44, 398.5, 419.26, 414.14, 419.23, 416.98, 418.03, 420.4, 413.96, 431.93, 413.27, False, 410.97, False, -0.003, 0.0, 0.0, 0.003, 0.013, 0.014, 0.02, 
2016-03-23 15:39:54, 50900215,65748, 419.52, 398.97, 419.52, 414.46, 419.32, 416.86, 417.77, 420.24, 413.9, 432.48, 413.14, False, 410.65, False, -0.0, -0.0, 0.0, 0.004, 0.013, 0.015, 0.021, 
2016-03-23 15:50:22, 50926789,65791, 420.48, 399.4, 419.52, 414.08, 419.32, 416.67, 417.87, 420.35, 413.94, 432.44, 413.16, False, 410.68, False, -0.003, -0.0, 0.0, 0.003, 0.013, 0.015, 0.021, 
2016-03-23 16:01:07, 50685425,66300, 419.74, 400.99, 419.52, 414.52, 419.33, 417.01, 418.07, 420.54, 414.0, 432.09, 413.2, False, 410.6, False, -0.001, -0.0, 0.0, 0.003, 0.013, 0.015, 0.021, 
2016-03-23 16:11:53, 50993513,65745, 419.77, 409.02, 419.52, 414.49, 419.32, 416.96, 418.09, 420.98, 413.99, 432.62, 413.19, False, 410.76, False, -0.001, -0.0, 0.0, 0.003, 0.013, 0.015, 0.02, 
2016-03-23 16:21:45, 43190214,66535, 419.26, 402.02, 419.23, 413.8, 419.22, 416.65, 417.18, 420.29, 413.98, 431.85, 410.74, False, 396.53, False, 0.0, 0.0, 0.0, 0.005, 0.013, 0.02, 0.054, 
2016-03-23 16:32:12, 42939364,66313, 420.3, 406.08, 419.54, 413.86, 419.29, 416.83, 417.09, 420.73, 413.98, 432.24, 410.61, False, 396.22, False, -0.002, -0.001, 0.0, 0.005, 0.013, 0.021, 0.055, 
2016-03-23 16:42:49, 43151487,72610, 421.79, 409.13, 420.16, 414.19, 419.83, 416.93, 417.88, 420.36, 414.06, 432.31, 410.83, False, 396.63, False, -0.005, -0.001, 0.0, 0.005, 0.014, 0.021, 0.055, 
2016-03-23 16:53:13, 41883409,80190, 419.96, 401.95, 419.03, 414.93, 418.43, 417.34, 415.94, 419.07, 413.61, 425.32, 409.16, 485.23, 391.05, False, -0.004, -0.001, 0.0, 0.006, 0.012, 0.022, 0.065, 
2016-03-23 17:03:36, 41868690,84615, 419.7, 408.33, 419.03, 414.86, 418.43, 417.48, 416.09, 419.25, 413.66, 424.5, 409.23, 444.31, 391.1, False, -0.003, -0.001, 0.0, 0.006, 0.011, 0.022, 0.065, 
2016-03-23 17:14:26, 41818800,84400, 421.9, 408.92, 419.04, 415.26, 418.51, 417.32, 415.94, 419.22, 413.62, 424.47, 409.19, 444.33, 390.77, False, -0.008, -0.001, 0.0, 0.006, 0.012, 0.022, 0.066, 
2016-03-23 17:24:20, 41754773,84208, 421.87, 408.75, 419.23, 414.52, 418.54, 417.26, 415.85, 419.21, 413.66, 424.45, 409.23, 444.35, 389.83, False, -0.008, -0.002, 0.0, 0.006, 0.012, 0.022, 0.069, 
2016-03-23 17:34:56, 41748748,84686, 421.86, 408.85, 419.29, 414.75, 418.76, 417.38, 415.91, 419.23, 413.68, 424.47, 409.29, 443.01, 389.88, False, -0.007, -0.001, 0.0, 0.007, 0.012, 0.023, 0.069, 
2016-03-23 17:45:37, 41880595,84088, 421.73, 409.06, 419.35, 415.29, 418.8, 417.59, 416.25, 419.27, 413.75, 424.52, 409.31, 444.68, 391.17, False, -0.007, -0.001, 0.0, 0.006, 0.012, 0.023, 0.066, 
2016-03-23 17:56:01, 42595517,84758, 421.77, 408.58, 419.36, 414.75, 418.76, 417.56, 416.57, 419.26, 413.83, 424.48, 410.28, 442.74, 394.3, False, -0.007, -0.001, 0.0, 0.005, 0.012, 0.02, 0.058, 
2016-03-23 18:06:20, 42636540,84026, 421.75, 409.06, 419.05, 415.1, 418.61, 417.58, 416.57, 419.26, 413.84, 424.53, 410.32, 444.84, 394.33, False, -0.008, -0.001, 0.0, 0.005, 0.011, 0.02, 0.058, 
2016-03-23 18:16:37, 42642427,84379, 419.43, 407.6, 419.03, 415.27, 418.35, 417.62, 416.72, 419.28, 413.86, 424.57, 410.37, 444.39, 394.37, False, -0.003, -0.002, 0.0, 0.004, 0.011, 0.019, 0.057, 
2016-03-23 18:27:04, 42667642,85564, 419.04, 409.02, 419.04, 415.15, 418.28, 417.67, 416.41, 419.29, 413.8, 424.58, 410.35, 442.72, 394.35, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.057, 
2016-03-23 18:37:37, 42632979,85541, 419.04, 404.47, 419.04, 415.44, 418.3, 417.71, 416.48, 419.29, 413.82, 424.59, 410.34, 442.73, 394.35, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.057, 
2016-03-23 18:48:24, 42643861,85656, 419.04, 401.58, 419.04, 415.34, 418.29, 417.79, 416.58, 419.3, 413.82, 424.59, 410.28, 442.71, 394.3, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.057, 
2016-03-23 18:58:44, 42854500,85741, 419.04, 399.71, 419.04, 415.45, 418.29, 417.76, 416.63, 419.3, 413.85, 424.54, 410.47, 442.67, 395.85, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.054, 
2016-03-23 19:09:09, 42769665,83125, 419.04, 405.09, 419.04, 415.42, 418.28, 417.82, 416.62, 419.56, 413.83, 425.04, 410.42, 451.43, 395.43, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.055, 
2016-03-23 19:19:37, An exchange was down. This profile is being skipped. Failed exchange = (unable to determine failed exchange.)
2016-03-23 19:29:46, 42567795,87362, 419.05, 405.17, 419.05, 415.27, 418.23, 417.64, 416.41, 419.52, 413.78, 424.65, 410.21, 438.89, 394.27, False, -0.002, -0.002, 0.0, 0.004, 0.011, 0.019, 0.057, 
2016-03-23 19:40:15, An exchange was down. This profile is being skipped. Failed exchange = (unable to determine failed exchange.)
2016-03-23 19:50:48, 41937838,85576, 420.71, 401.37, 419.06, 415.57, 418.4, 418.08, 416.48, 419.86, 414.76, 424.97, 410.09, 443.03, 391.76, False, -0.006, -0.002, 0.0, 0.005, 0.009, 0.02, 0.064, 
2016-03-23 20:01:32, 41769569,92647, 419.07, 411.6, 419.07, 415.6, 418.24, 418.01, 416.62, 420.09, 414.85, 424.86, 410.12, 432.51, 390.53, False, -0.002, -0.002, 0.0, 0.004, 0.008, 0.019, 0.066, 
